Question,Answer
What are the causes of Substance-Induced Psychotic Disorder?,Use or withdrawal from drugs and alcohol.
What is Psychotic Disorder Due to a Medical Condition?,"Hallucinations, delusions, disorganized thinking and behavior directly related to a medical condition affecting the brain."
What are the causes of Psychotic Disorder Due to a Medical Condition?,Underlying medical conditions affecting the brain.
What is Paranoid Schizophrenia?,"Predominant symptoms include delusions and hallucinations, often with themes of persecution or grandiosity, and relatively better cognitive function."
What are the causes of Paranoid Schizophrenia?,"Chemical disturbance of brain function, genetics, environmental factors."
What is Disorganized Schizophrenia?,"Characterized by disorganized speech and behavior, flat or inappropriate affect, fragmented delusions and hallucinations, and severe cognitive disruptions."
What are the causes of Disorganized Schizophrenia?,"Chemical disturbance of brain function, genetics, environmental factors."
What is Catatonic Schizophrenia?,"Major psychomotor disturbances including immobility, excessive motor activity, extreme negativism, mutism, peculiar voluntary movements, echolalia or echopraxia."
What are the causes of Catatonic Schizophrenia?,"Chemical disturbance of brain function, genetics, environmental factors."
What is Undifferentiated Schizophrenia?,"Symptoms that do not clearly fit into paranoid, disorganized, or catatonic types but include elements of these categories."
What are the causes of Undifferentiated Schizophrenia?,"Chemical disturbance of brain function, genetics, environmental factors."
What is Residual Schizophrenia?,"Absence of prominent delusions, hallucinations, disorganized speech, and grossly disorganized or catatonic behavior, with continuing evidence of the disturbance and negative symptoms such as emotional blunting and social withdrawal."
What are the causes of Residual Schizophrenia?,"Chemical disturbance of brain function, genetics, environmental factors."
What are Eating Disorders?,Distorted body images that make it difficult for people to nourish themselves in a healthy way.
What is Anorexia Nervosa?,"Dramatic weight loss through fasting and excessive exercise, influenced by distorted body image, cultural pressures, and genetic factors."
What is Bulimia Nervosa?,"Binge eating followed by purging, influenced by distorted body image, cultural pressures, and genetic factors."
What are Personality Disorders?,"Patterns of thinking, mood, social interaction, and impulsiveness that cause distress to those experiencing them and others."
What is Borderline Personality Disorder?,"Difficulty maintaining positive relationships, fear of abandonment, unstable self-image, impulsive behavior, intense and unstable relationships, and emotional instability."
What are the causes of Borderline Personality Disorder?,"Genetics, brain structure and function, environmental factors."
What is Paranoid Personality Disorder?,"Overwhelming distrust and suspicion of others, interpreting others' motives as malevolent, bearing grudges, quick to counterattack, and reluctance to confide in others."
What are the causes of Paranoid Personality Disorder?,"Genetics, brain structure and function, environmental factors."
What is Antisocial Personality Disorder?,"Impulsive behavior, aggression, violations of the rights of others, deceitfulness, lack of remorse, irresponsibility, and failure to conform to social norms."
What are the causes of Antisocial Personality Disorder?,"Genetics, brain structure and function, environmental factors."
